days,home_advantage,exp_home_advantage,match_count
200,-0.061862438446255476,0.9400121874345286,285
400,-0.08019748699488148,0.9229340609135595,438
600,-0.08828709857474502,0.9154980008182656,718
800,-0.022874393849527296,0.9773852416612767,869
1000,-0.01155010802519365,0.9885163384053127,1140
1200,-0.025852004541201935,0.9744792974481485,1280
1400,-0.04018660245157764,0.9606101702140594,1475
1600,-0.037838931185709614,0.9628680164116707,1695
1800,-0.040953783923654015,0.9598734905092253,1855
2000,-0.03223025116154454,0.9682836079847176,2100
2200,-0.027950258069978917,0.9724367364783322,2263
2400,-0.016862833918969894,0.9832785478503384,2524
2600,-0.019861836760621636,0.9803341100866704,2692
2800,-0.03397561226442294,0.9665950774152202,2962
3000,-0.03074623990378595,0.9697216185076628,3104
3200,-0.041432827210820186,0.9594137796765536,3375
3400,-0.029257163542212746,0.9711666836862705,3524
3600,-0.042984821694383835,0.9579259296492052,3755
3800,-0.048517027672479784,0.9526411179067825,3966
4000,-0.053118019289242424,0.9482680919518139,4135
4200,-0.06192484859297261,0.939953522966643,4385
4400,-0.060336396177799324,0.9414477808749514,4544
4600,-0.06422314684614026,0.9377957100254354,4811
4800,-0.059865276254709256,0.9418914201765217,4965
5000,-0.048970623524631836,0.9522091018348668,5252
5200,-0.043279085146250666,0.9576440885283182,5385
5400,-0.03693554451186766,0.9637382515666029,5655
5600,-0.03772106479697891,0.9629815128761673,5822
5800,-0.037326125228412096,0.9633619074908986,6035
6000,-0.039489460568725245,0.9612800852826037,6255
6200,-0.04178444934662664,0.9590764878573318,6415
6400,-0.04498011437921788,0.9560164926255124,6694
6600,-0.0454796734704308,0.9555390251668064,6835
6800,-0.0446282463600493,0.9563529434447353,7111
7000,-0.04433915527901841,0.9566294565178086,7263
7200,-0.04386983961551285,0.9570785230746653,7463
7400,-0.0406149503093729,0.9601987830201736,7641
7600,-0.039838567543636696,0.9609445542715039,7935
7800,-0.03987628289346697,0.9609083125949102,8111
8000,-0.036941156528842,0.9637328430663527,8315
8200,-0.03902455189617357,0.9617270966326781,8514
8400,-0.028582512333636186,0.9718221035281832,8711
8600,-0.025590773468030063,0.9747338949737492,8963
8800,-0.028458755349813045,0.9719423807429477,9125
8934,-0.031337689327094166,0.9691482467925264,9314
