Date,Model_RPS,Bookmaker_RPS,RPS_Difference,Cumulative_RPS_Difference
2020-09-12,0.12467650060206681,0.08410306035400383,0.040573440248062975,0.040573440248062975
2020-09-12,0.36456779134567974,0.35724827120931013,0.007319520136369606,0.04789296038443258
2020-09-12,0.2308771379922393,0.32082202333309484,-0.08994488534085554,-0.04205192495642296
2020-09-12,0.06404674049842003,0.038328120033352835,0.025718620465067198,-0.01633330449135576
2020-09-13,0.24029268826692754,0.16294254125145638,0.07735014701547116,0.0610168425241154
2020-09-13,0.45056788261331926,0.4391786367214503,0.01138924589186896,0.07240608841598437
2020-09-14,0.10063232091577631,0.10196374573348199,-0.0013314248177056787,0.07107466359827869
2020-09-14,0.3786299540125341,0.22215451887111393,0.15647543514142015,0.22755009873969884
2020-09-19,0.10931902087407921,0.07909986709929234,0.030219153774786872,0.2577692525144857
2020-09-19,0.1147584308505901,0.09743024453221705,0.01732818631837306,0.27509743883285875
2020-09-19,0.6572911019291143,0.6704680158797605,-0.01317691395064613,0.2619205248822126
2020-09-19,0.05272488923394657,0.08774712788789298,-0.03502223865394641,0.22689828622826622
2020-09-20,0.36824306996058354,0.20869843920036965,0.15954463076021388,0.3864429169884801
2020-09-20,0.10850981024678073,0.09900325470529055,0.009506555541490186,0.39594947252997026
2020-09-20,0.4321126272632111,0.29077706184114077,0.14133556542207032,0.5372850379520406
2020-09-20,0.2303078218326718,0.23038653950214133,-7.871766946954128e-05,0.5372063202825711
2020-09-21,0.23525336711046635,0.2701261525669258,-0.03487278545645944,0.5023335348261116
2020-09-21,0.11787401127057243,0.07766794820388474,0.04020606306668768,0.5425395978927994
2020-09-26,0.17813612134141907,0.24751633463339517,-0.0693802132919761,0.4731593846008233
2020-09-26,0.09846232552005427,0.12137793387613757,-0.022915608356083306,0.45024377624474
2020-09-26,0.28058289910969936,0.21598635195980825,0.0645965471498911,0.514840323394631
2020-09-26,0.26496499652096106,0.18166893281124483,0.08329606370971623,0.5981363871043472
2020-09-27,0.207906263144441,0.22294294418835497,-0.01503668104391398,0.5830997060604333
2020-09-27,0.5968410246981397,0.680181321490927,-0.08334029679278732,0.49975940926764595
2020-09-27,0.17960651019819307,0.37833260175928324,-0.19872609156109017,0.3010333177065558
2020-09-27,0.3161300945880814,0.2652919036082375,0.05083819097984388,0.35187150868639966
2020-09-28,0.34114574912015455,0.24584275006503645,0.0953029990551181,0.4471745077415178
2020-09-28,0.15956030593025142,0.07040484189289947,0.08915546403735194,0.5363299717788698
2020-10-03,0.047994905559551514,0.05816273125754893,-0.010167825697997415,0.5261621460808723
2020-10-03,0.09971962772084549,0.12053527632195313,-0.020815648601107642,0.5053464974797647
2020-10-03,0.15858555263246754,0.24892348964857974,-0.0903379370161122,0.4150085604636525
2020-10-03,0.16092909935748245,0.22934295542467514,-0.06841385606719269,0.3465947043964598
2020-10-04,0.4500343280317776,0.5100681193079919,-0.06003379127621428,0.2865609131202455
2020-10-04,0.07972321062950212,0.09070814483944441,-0.010984934209942288,0.2755759789103032
2020-10-04,0.4792182364269262,0.42246771949100215,0.056750516935924034,0.33232649584622725
2020-10-04,0.46703488915239416,0.6771996038971071,-0.21016471474471293,0.12216178110151432
2020-10-04,0.16796131585039756,0.07470395565633661,0.09325736019406095,0.21541914129557527
2020-10-04,0.1396802636552182,0.12068800770883019,0.018992255946388023,0.2344113972419633
2020-10-17,0.12997325529124074,0.11347068672804747,0.016502568563193265,0.25091396580515657
2020-10-17,0.13893408993663525,0.1672861635960276,-0.02835207365939235,0.22256189214576422
2020-10-17,0.23583709466324201,0.22470947765448882,0.011127617008753199,0.23368950915451742
2020-10-17,0.14610434849767934,0.06773771693820171,0.07836663155947762,0.312056140713995
2020-10-18,0.13646233636964417,0.13609716023559268,0.00036517613405148697,0.3124213168480465
2020-10-18,0.1434727661034995,0.1270458621953264,0.016426903908173085,0.3288482207562196
2020-10-18,0.2116600929866981,0.19909214210995857,0.012567950876739536,0.3414161716329591
2020-10-18,0.4732112847052765,0.4298065395301006,0.043404745175175896,0.384820916808135
2020-10-19,0.13194441548197638,0.12800764968903414,0.003936765792942248,0.38875768260107724
2020-10-19,0.4420315968973436,0.29588799318403625,0.14614360371330737,0.5349012863143846
2020-10-23,0.2766171164352994,0.3608931319587627,-0.08427601552346331,0.4506252707909213
2020-10-24,0.3304306797773113,0.27012615256692557,0.060304527210385706,0.510929798001307
2020-10-24,0.1419833210463893,0.13679369099596642,0.005189630050422889,0.5161194280517298
2020-10-24,0.07225539133911603,0.02829105282152841,0.04396433851758762,0.5600837665693175
2020-10-24,0.1766690481757137,0.25191253032283695,-0.07524348214712326,0.4848402844221942
2020-10-25,0.5451938263759519,0.406044083398638,0.13914974297731392,0.623990027399508
2020-10-25,0.1374216290314249,0.1652892561983471,-0.027867627166922204,0.5961224002325858
2020-10-25,0.23549436489640269,0.28338584288642077,-0.04789147799001808,0.5482309222425676
2020-10-26,0.12426604575754575,0.17744420691439391,-0.05317816115684816,0.4950527610857195
2020-10-26,0.168577822909202,0.09541195736798302,0.07316586554121898,0.5682186266269385
2020-10-30,0.19251706577986358,0.1601198263836459,0.032397239396217664,0.6006158660231561
2020-10-31,0.046221509697812746,0.0546627120765089,-0.008441202378696153,0.5921746636444599
2020-10-31,0.15254207804591857,0.038328120033352835,0.11421395801256573,0.7063886216570257
2020-10-31,0.1110624912050947,0.08033240997229919,0.03073008123279551,0.7371187028898212
2020-11-01,0.06047972092970241,0.09900325470529055,-0.038523533775588134,0.698595169114233
