Date,RPS,Model
2020-09-12,0.2722746936458291,Bayes.Basic
2020-09-12,0.2937424181836138,Bayes.Basic
2020-09-12,0.2621493008758786,Bayes.Basic
2020-09-12,0.26612092703920726,Bayes.Basic
2020-09-13,0.2857501680663942,Bayes.Basic
2020-09-13,0.2659956287460545,Bayes.Basic
2020-09-14,0.25288589908368597,Bayes.Basic
2020-09-14,0.27718695806972554,Bayes.Basic
2020-09-19,0.2672095151270792,Bayes.Basic
2020-09-19,0.29297347639412163,Bayes.Basic
2020-09-19,0.29235007021506876,Bayes.Basic
2020-09-19,0.2595131798959338,Bayes.Basic
2020-09-20,0.2666378831796709,Bayes.Basic
2020-09-20,0.28504273397255253,Bayes.Basic
2020-09-20,0.2776870420947479,Bayes.Basic
2020-09-20,0.27968881452001054,Bayes.Basic
2020-09-21,0.29081711126667315,Bayes.Basic
2020-09-21,0.25317416757214284,Bayes.Basic
2020-09-26,0.26483002580756193,Bayes.Basic
2020-09-26,0.24840766750062931,Bayes.Basic
2020-09-26,0.1273346748510914,Bayes.Basic
2020-09-26,0.26969909467293346,Bayes.Basic
2020-09-27,0.27875016582509093,Bayes.Basic
2020-09-27,0.12499249957034923,Bayes.Basic
2020-09-27,0.2917882896294493,Bayes.Basic
2020-09-27,0.26912637806072714,Bayes.Basic
2020-09-28,0.3057017337310777,Bayes.Basic
2020-09-28,0.27512319944584374,Bayes.Basic
2020-10-03,0.23881467594702285,Bayes.Basic
2020-10-03,0.26097040314477105,Bayes.Basic
2020-10-03,0.13044157750843915,Bayes.Basic
2020-10-03,0.2641803701946336,Bayes.Basic
2020-10-04,0.26317380243957816,Bayes.Basic
2020-10-04,0.27851151879009883,Bayes.Basic
2020-10-04,0.25720920229400285,Bayes.Basic
2020-10-04,0.294139236178936,Bayes.Basic
2020-10-04,0.26274681816911066,Bayes.Basic
2020-10-04,0.29051012401891746,Bayes.Basic
2020-10-17,0.12994141423491942,Bayes.Basic
2020-10-17,0.12975658351610156,Bayes.Basic
2020-10-17,0.2636529644966735,Bayes.Basic
2020-10-17,0.27420992748176837,Bayes.Basic
2020-10-18,0.11745059342248765,Bayes.Basic
2020-10-18,0.11676963198767283,Bayes.Basic
2020-10-18,0.12478022975680256,Bayes.Basic
2020-10-18,0.279368926546071,Bayes.Basic
2020-10-19,0.11379407070805175,Bayes.Basic
2020-10-19,0.27132076933329424,Bayes.Basic
2020-10-23,0.26366442006893426,Bayes.Basic
2020-10-24,0.1292458893546851,Bayes.Basic
2020-10-24,0.3057017337310777,Bayes.Basic
2020-10-24,0.1403140952577665,Bayes.Basic
2020-10-24,0.2650142116337632,Bayes.Basic
2020-10-25,0.284365524712827,Bayes.Basic
2020-10-25,0.11837397537406535,Bayes.Basic
2020-10-25,0.2933538731343339,Bayes.Basic
2020-10-26,0.11444310035680151,Bayes.Basic
2020-10-26,0.26204783904280327,Bayes.Basic
2020-10-30,0.2619731729768196,Bayes.Basic
2020-10-31,0.2553458363215825,Bayes.Basic
2020-10-31,0.2530282765604031,Bayes.Basic
2020-10-31,0.2699144136484325,Bayes.Basic
2020-11-01,0.2590019618538509,Bayes.Basic
2020-11-01,0.2759790283093727,Bayes.Basic
2020-11-01,0.25443063633436874,Bayes.Basic
2020-11-01,0.2618385176126789,Bayes.Basic
2020-11-02,0.2655926327548576,Bayes.Basic
2020-11-02,0.278157981944588,Bayes.Basic
2020-11-06,0.11585952390175695,Bayes.Basic
2020-11-06,0.2821933623865334,Bayes.Basic
2020-11-07,0.27869400791381216,Bayes.Basic
2020-11-07,0.28470047762320544,Bayes.Basic
2020-11-07,0.2550509747249132,Bayes.Basic
2020-11-07,0.28828248661710676,Bayes.Basic
2020-11-08,0.27025051667279437,Bayes.Basic
