team,days,attack,defense
Sheffield United,2200,0.9025844543208987,0.3366562904575885
Sheffield United,2400,2.100510505271311,0.38463715933399545
Sheffield United,2600,2.0303921642898093,0.3932404030588627
Sheffield United,2800,2.038128762668306,0.3924992014230461
Sheffield United,3000,2.009779541699327,0.39884146360859674
Sheffield United,3200,2.059653261369383,0.3930226062750303
Sheffield United,3400,2.042280191336963,0.3909563860619659
Sheffield United,3600,2.0531817070179,0.38365173541523073
Sheffield United,3800,2.021725403811333,0.38866563886290745
Sheffield United,4000,2.0124288975815476,0.3902155024956049
Sheffield United,4200,1.998954103252062,0.39186024107327305
Sheffield United,4400,1.98979515418466,0.39273641972868917
Sheffield United,4600,1.9780335023708253,0.3914796977545263
Sheffield United,4800,1.9949487649134143,0.3898139193095857
Sheffield United,5000,1.9965077045617987,0.3882473153950225
Sheffield United,5200,1.9922886517552711,0.3892314372024802
Sheffield United,5400,1.9847461537486184,0.3906100803985115
Sheffield United,5600,1.9772007196659738,0.39535636021268505
Sheffield United,5800,1.9666664937949396,0.39496018468100624
Sheffield United,6000,1.957700590913999,0.39504364119415314
Sheffield United,6200,1.9531244106752876,0.39502685990756875
Sheffield United,6400,1.9775318481010302,0.38684782253542604
Sheffield United,6600,1.9877504141696203,0.385088922838719
Sheffield United,6800,1.9823591771865574,0.38540502308257957
Sheffield United,7000,2.0020335828840583,0.33174207410299367
Sheffield United,7200,2.274334281194836,0.2911925624032619
Sheffield United,7400,2.0818805308903476,0.32357108137534796
Sheffield United,7600,1.8379216731443253,0.3670364384201554
Sheffield United,7800,1.840327915584522,0.3671208324453998
Sheffield United,8000,1.8400092900694978,0.36849637196489393
Sheffield United,8200,1.8499360971938517,0.36546230134863655
Sheffield United,8400,1.8122591390423028,0.3708147195761904
Sheffield United,8600,1.8237061052512062,0.4654328686246902
Sheffield United,8800,1.9182476342919925,0.4964447293840223
Sheffield United,8934,1.9137475110380198,0.4970102122702977
Norwich,1600,2.021269863764693,0.5030706957753246
Norwich,1800,2.578018156142268,0.5795918299261605
Norwich,2000,2.5946059097204475,0.5810829661091037
Norwich,2200,2.691759827691383,0.5560523077505855
Norwich,2400,2.67498279005088,0.5598741448663273
Norwich,2600,2.6759523858351324,0.560344215987952
Norwich,2800,2.6970421402466247,0.5552140693578131
Norwich,3000,2.652676736766669,0.5638908157362652
Norwich,3200,2.701673755267515,0.5543058557394015
Norwich,3400,2.694967993872094,0.5513410518341784
Norwich,3600,2.7220262674435625,0.5410665670827473
Norwich,3800,2.6852659293051184,0.5465511200308387
Norwich,4000,2.669461634626143,0.5483319673208515
Norwich,4200,3.0627114977368373,0.5024404631023904
Norwich,4400,2.892713716298042,0.5105792665024212
Norwich,4600,2.7415863668682987,0.4716550714110381
Norwich,4800,2.757085963848437,0.4604321496989802
Norwich,5000,2.5375001075617547,0.4631907346586516
Norwich,5200,2.5047269516174238,0.45600512411203475
Norwich,5400,2.503419901572215,0.45668790478959187
Norwich,5600,2.5161675706350533,0.4639935248803209
Norwich,5800,2.4600039274649035,0.46842812096286657
Norwich,6000,2.4348695276475922,0.4683269569568554
Norwich,6200,2.4372633210311476,0.46809346575425814
Norwich,6400,2.4623337094194717,0.462307678393252
Norwich,6600,2.476907653304943,0.4606262804124117
Norwich,6800,2.4705708170009846,0.4612103666285588
Norwich,7000,2.4857768481679106,0.4739437673247297
Norwich,7200,2.3770932787527044,0.4695304532125305
Norwich,7400,2.241870189367753,0.4828212117896378
Norwich,7600,2.243908764561234,0.4874833843399262
Norwich,7800,2.1092633653121653,0.49600055883878635
Norwich,8000,2.0729475397514534,0.5114720702341373
Norwich,8200,2.085623224633315,0.5074164380713883
